id,host_is_superhost,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
69074,t,22.28352,114.15018,Apartment,Entire home/apt,3,1,1,2,Real Bed,134,4,97,10,9,10,10,10,9,1.18
75083,f,22.28398,114.14839,Apartment,Entire home/apt,3,1,0,2,Real Bed,229,1,89,8,9,9,9,10,9,2.02
103760,f,22.28407,114.1557,Apartment,Entire home/apt,6,1,2,3,Real Bed,271,13,89,9,9,10,10,10,9,2.47
132773,f,22.28868,114.14494,Apartment,Entire home/apt,6,1,2,3,Real Bed,305,48,93,10,10,10,10,10,9,2.81
133390,f,22.28343,114.15539,Apartment,Entire home/apt,2,1,1,1,Real Bed,27,0,97,10,9,10,10,10,10,0.25
163664,f,22.28651,114.14874,Apartment,Entire home/apt,6,1,2,3,Real Bed,222,16,86,9,9,9,9,10,9,2.07
163742,f,22.28694,114.14855,Apartment,Entire home/apt,6,1,2,3,Real Bed,225,11,86,9,9,10,10,10,9,2.09
228510,f,22.30983,114.16911,Apartment,Private room,2,1,1,1,Real Bed,17,0,100,10,10,10,10,10,10,0.16
248140,t,22.28291,114.15137,Apartment,Entire home/apt,2,1,1,1,Real Bed,163,12,98,10,10,10,10,9,10,1.55
274589,f,22.27928,114.17124,Apartment,Entire home/apt,4,1,2,3,Real Bed,240,9,95,10,9,10,10,10,9,2.32
277437,f,22.28359,114.13138,Apartment,Entire home/apt,4,1,1,1,Real Bed,43,2,93,9,9,9,10,9,9,0.41
280746,f,22.46592,113.98207,Apartment,Entire home/apt,6,2,3,3,Real Bed,160,49,97,9,7,9,9,9,8,1.61
284141,f,22.28317,114.15028,Apartment,Entire home/apt,3,1,2,2,Real Bed,22,0,92,9,9,9,10,10,9,0.21
290161,f,22.28114,114.15306,Apartment,Entire home/apt,4,1,1,2,Real Bed,34,0,91,9,9,8,9,10,9,0.43
320446,t,22.27599,114.17976,Apartment,Private room,3,1,1,1,Real Bed,15,0,86,8,8,9,9,9,8,0.15
320447,t,22.27711,114.17772,Apartment,Entire home/apt,10,3,3,6,Real Bed,104,2,95,9,10,10,10,10,9,1.04
354442,f,22.26791,114.12554,Apartment,Entire home/apt,10,3,5,5,Real Bed,2,0,100,10,10,10,10,10,10,0.06
410921,t,22.27736,114.17949,Apartment,Private room,3,1,1,2,Real Bed,18,0,99,10,10,10,10,10,9,0.18
412404,f,22.29701,114.17138,Guest suite,Entire home/apt,5,1,1,3,Real Bed,221,6,91,10,10,10,10,10,9,3.09
442781,f,22.28756,114.13367,Apartment,Entire home/apt,4,1,1,2,Real Bed,10,10,96,10,10,10,10,9,10,1.85
459463,f,22.27732,114.18291,Condominium,Entire home/apt,2,1,1,1,Real Bed,76,2,78,8,7,9,8,9,8,1.01
